board_x,board_y,theta
0.4,-0.19616851,-0.6
0.4,-0.14956114,-0.4666667
0.4,-0.10522228,-0.33333337
0.4,-0.062493734,-0.2
0.4,-0.020725034,-0.06666666
0.4,0.020725034,0.06666666
0.4,0.062493734,0.2
0.4,0.10522228,0.33333337
0.4,0.14956114,0.4666667
0.4,0.19616851,0.6
0.52,-0.25243616,-0.6
0.52,-0.19269778,-0.4666667
0.52,-0.13567965,-0.33333337
0.52,-0.080622174,-0.2
0.52,-0.02674317,-0.06666666
0.52,0.02674317,0.06666666
0.52,0.080622174,0.2
0.52,0.13567965,0.33333337
0.52,0.19269778,0.4666667
0.52,0.25243616,0.6
0.64,-0.30870384,-0.6
0.64,-0.23583443,-0.4666667
0.64,-0.16613701,-0.33333337
0.64,-0.09875061,-0.2
0.64,-0.032761306,-0.06666666
0.64,0.032761306,0.06666666
0.64,0.09875061,0.2
0.64,0.16613701,0.33333337
0.64,0.23583443,0.4666667
0.64,0.30870384,0.6
0.76,-0.36497152,-0.6
0.76,-0.27897108,-0.4666667
0.76,-0.19659439,-0.33333337
0.76,-0.11687906,-0.2
0.76,-0.03877944,-0.06666666
0.76,0.03877944,0.06666666
0.76,0.11687906,0.2
0.76,0.19659439,0.33333337
0.76,0.27897108,0.4666667
0.76,0.36497152,0.6
0.88,-0.4212392,-0.6
0.88,-0.32210773,-0.4666667
0.88,-0.22705178,-0.33333337
0.88,-0.13500752,-0.2
0.88,-0.044797577,-0.06666666
0.88,0.044797577,0.06666666
0.88,0.13500752,0.2
0.88,0.22705178,0.33333337
0.88,0.32210773,0.4666667
0.88,0.4212392,0.6
1.0,-0.47750688,-0.6
1.0,-0.3652444,-0.4666667
1.0,-0.25750917,-0.33333337
1.0,-0.15313596,-0.2
1.0,-0.050815713,-0.06666666
1.0,0.050815713,0.06666666
1.0,0.15313596,0.2
1.0,0.25750917,0.33333337
1.0,0.3652444,0.4666667
1.0,0.47750688,0.6
